bus,fueltype,c2,c1,c0,pmax,ess,canidate,gen_id
439,Batteries,0.06757,16.371712,401.19412,0.0,1,1,277
438,Batteries,0.06757,16.371712,401.19412,0.0,1,1,278
1,Batteries,0.06757,16.371712,401.19412,0.0,1,1,279
432,Batteries,0.06757,16.371712,401.19412,0.0,1,1,280
469,Batteries,0.06757,16.371712,401.19412,0.0,1,1,281
466,Batteries,0.06757,16.371712,401.19412,0.0,1,1,282
108,Batteries,0.06757,16.371712,401.19412,0.0,1,1,283
402,Batteries,0.06757,16.371712,401.19412,0.0,1,1,284
145,Batteries,0.06757,16.371712,401.19412,0.0,1,1,285
79,Batteries,0.06757,16.371712,401.19412,0.0,1,1,286
486,Batteries,0.06757,16.371712,401.19412,0.0,1,1,287
53,Batteries,0.06757,16.371712,401.19412,0.0,1,1,288
92,Batteries,0.06757,16.371712,401.19412,0.0,1,1,289
45,Batteries,0.06757,16.371712,401.19412,0.0,1,1,290
366,Batteries,0.06757,16.371712,401.19412,0.0,1,1,291
472,Batteries,0.06757,16.371712,401.19412,0.0,1,1,292
94,Batteries,0.06757,16.371712,401.19412,0.0,1,1,293
74,Batteries,0.06757,16.371712,401.19412,0.0,1,1,294
470,Batteries,0.06757,16.371712,401.19412,0.0,1,1,295
450,Batteries,0.06757,16.371712,401.19412,0.0,1,1,296
415,Batteries,0.06757,16.371712,401.19412,0.0,1,1,297
27,Batteries,0.06757,16.371712,401.19412,0.0,1,1,298
44,Batteries,0.06757,16.371712,401.19412,0.0,1,1,299
429,Batteries,0.06757,16.371712,401.19412,0.0,1,1,300
25,Batteries,0.06757,16.371712,401.19412,0.0,1,1,301
475,Batteries,0.06757,16.371712,401.19412,0.0,1,1,302
460,Batteries,0.06757,16.371712,401.19412,0.0,1,1,303
35,Batteries,0.06757,16.371712,401.19412,0.0,1,1,304
281,Batteries,0.06757,16.371712,401.19412,0.0,1,1,305
355,Batteries,0.06757,16.371712,401.19412,0.0,1,1,306
478,Batteries,0.06757,16.371712,401.19412,0.0,1,1,307
55,Batteries,0.06757,16.371712,401.19412,0.0,1,1,308
